data,produto,vendas,preco_unitario
2024-01-06,Carregador,2,125
2024-01-06,Relógio Smart,3,1064
2024-01-06,Carregador,18,75
2024-01-06,Carregador,4,119
2024-01-06,Cabo USB,6,27
2024-01-06,Fone,1,153
2024-01-06,Capinha,7,28
2024-01-06,Relógio Smart,8,453
2024-01-06,Celular,4,2218
2024-01-06,Celular,8,1734
2024-01-06,Película,13,31
2024-01-06,Fone,6,248
2024-01-06,Celular,12,1516
2024-01-06,Capinha,1,30
2024-01-07,Fone,7,140
2024-01-07,Caixa de Som,2,389
2024-01-07,Capinha,5,56
2024-01-07,Capinha,1,31
2024-01-07,Capinha,10,92
2024-01-07,Relógio Smart,11,1300
2024-01-07,Película,19,34
2024-01-07,Película,17,21
2024-01-07,Celular,5,1515
2024-01-07,Fone,18,204
2024-01-07,Celular,8,2189
2024-01-07,Película,5,46
2024-01-07,Capinha,4,96
2024-01-08,Fone,8,156
2024-01-08,Cabo USB,9,27
2024-01-08,Capinha,16,99
2024-01-08,Celular,13,1470
2024-01-08,Carregador,12,63
2024-01-08,Carregador,9,98
2024-01-08,Película,7,32
2024-01-08,Capinha,17,27
2024-01-08,Capinha,4,52
2024-01-08,Película,2,33
2024-01-08,Cabo USB,12,42
2024-01-08,Fone,11,159
2024-01-09,Fone,15,73
2024-01-09,Capinha,1,83
2024-01-09,Celular,2,1229
2024-01-09,Capinha,5,93
2024-01-09,Celular,7,2523
2024-01-09,Celular,19,2507
2024-01-09,Celular,7,1332
2024-01-09,Capinha,6,86
2024-01-09,Cabo USB,13,67
2024-01-09,Celular,2,2725
2024-01-09,Relógio Smart,12,896
2024-01-09,Fone,5,125
2024-01-10,Cabo USB,19,26
2024-01-10,Fone,19,213
2024-01-10,Película,8,30
2024-01-10,Capinha,14,91
2024-01-10,Cabo USB,2,66
2024-01-10,Capinha,2,50
2024-01-10,Carregador,11,89
2024-01-10,Carregador,6,145
2024-01-10,Celular,5,1832
2024-01-10,Fone,19,243
2024-01-10,Fone,10,267
2024-01-10,Película,19,12
2024-01-10,Capinha,11,26
2024-01-10,Película,16,36
2024-01-10,Celular,8,1641
2024-01-10,Fone,18,129
2024-01-11,Celular,2,1667
2024-01-11,Carregador,5,93
2024-01-11,Capinha,8,66
2024-01-11,Cabo USB,8,30
2024-01-11,Celular,7,1543
2024-01-11,Relógio Smart,6,434
2024-01-11,Carregador,17,72
2024-01-11,Celular,2,1788
2024-01-12,Capinha,5,37
2024-01-12,Capinha,13,74
2024-01-12,Carregador,15,101
2024-01-12,Película,6,23
2024-01-12,Fone,17,70
2024-01-12,Celular,7,1454
2024-01-12,Fone,8,260
2024-01-12,Celular,5,1582
2024-01-12,Película,3,40
2024-01-12,Película,9,32
2024-01-12,Celular,1,2545
2024-01-13,Celular,2,1985
2024-01-13,Carregador,16,143
2024-01-13,Capinha,3,50
2024-01-13,Celular,2,1258
2024-01-13,Fone,2,199
2024-01-13,Celular,13,2585
2024-01-13,Relógio Smart,10,1403
2024-01-13,Carregador,19,80
2024-01-13,Celular,11,2649
2024-01-13,Cabo USB,5,37
2024-01-13,Fone,6,213
2024-01-13,Película,5,19
2024-01-14,Celular,12,2042
2024-01-14,Carregador,1,133
2024-01-14,Caixa de Som,4,128
2024-01-14,Capinha,4,82
2024-01-14,Capinha,1,98
2024-01-14,Fone,17,105
2024-01-14,Cabo USB,15,47
2024-01-14,Relógio Smart,8,622
2024-01-14,Cabo USB,13,42
2024-01-14,Celular,15,1893
2024-01-14,Cabo USB,15,25
2024-01-15,Película,3,30
2024-01-15,Fone,5,154
2024-01-15,Celular,3,1811
2024-01-15,Relógio Smart,18,1075
2024-01-15,Cabo USB,7,24
2024-01-15,Película,16,11
2024-01-15,Capinha,16,86
2024-01-15,Cabo USB,9,30
2024-01-15,Capinha,7,64
2024-01-15,Fone,9,83
2024-01-15,Fone,14,229
2024-01-15,Celular,15,2319
2024-01-15,Fone,11,298
2024-01-15,Capinha,9,46
2024-01-15,Capinha,1,88
2024-01-15,Película,8,43
2024-01-15,Cabo USB,9,72
2024-01-16,Celular,16,1056
2024-01-16,Celular,6,2990
2024-01-16,Celular,18,1713
2024-01-16,Celular,6,2517
2024-01-16,Relógio Smart,1,1098
2024-01-16,Fone,3,68
2024-01-16,Capinha,9,38
2024-01-16,Fone,13,241
2024-01-16,Cabo USB,14,70
2024-01-16,Capinha,4,28
2024-01-16,Carregador,17,124
2024-01-16,Cabo USB,12,34
2024-01-16,Capinha,16,51
2024-01-16,Capinha,7,24
2024-01-17,Película,14,43
2024-01-17,Capinha,5,27
2024-01-17,Capinha,5,37
2024-01-17,Celular,17,2252
2024-01-17,Fone,13,253
2024-01-17,Relógio Smart,5,1459
2024-01-17,Película,14,43
2024-01-17,Película,16,25
2024-01-17,Celular,12,2177
2024-01-17,Fone,1,180
2024-01-17,Película,15,31
2024-01-17,Celular,5,2266
2024-01-17,Cabo USB,2,70
2024-01-17,Fone,16,164
2024-01-17,Carregador,18,83
2024-01-17,Carregador,7,123
2024-01-17,Película,6,24
2024-01-18,Relógio Smart,6,631
2024-01-18,Capinha,7,39
2024-01-18,Carregador,17,68
2024-01-18,Capinha,1,33
2024-01-18,Película,15,15
2024-01-18,Celular,9,1587
2024-01-18,Fone,15,139
2024-01-18,Relógio Smart,2,371
2024-01-18,Celular,6,2570
2024-01-18,Caixa de Som,16,143
2024-01-18,Capinha,12,42
2024-01-18,Carregador,6,144
2024-01-18,Capinha,1,41
2024-01-18,Relógio Smart,4,1030
2024-01-18,Cabo USB,14,63
2024-01-19,Fone,10,98
2024-01-19,Celular,17,2562
2024-01-19,Celular,6,2858
2024-01-19,Celular,7,2301
2024-01-19,Capinha,1,70
2024-01-19,Capinha,9,76
2024-01-19,Fone,7,181
2024-01-19,Carregador,10,121
2024-01-19,Capinha,8,42
2024-01-19,Fone,14,254
2024-01-19,Cabo USB,17,55
2024-01-19,Cabo USB,13,57
2024-01-19,Celular,2,2475
2024-01-19,Película,10,43
2024-01-19,Capinha,15,54
2024-01-19,Caixa de Som,7,183
2024-01-19,Celular,16,2718
2024-01-20,Película,5,45
2024-01-20,Capinha,4,75
2024-01-20,Película,1,29
2024-01-20,Película,7,26
2024-01-20,Carregador,19,91
2024-01-20,Capinha,12,86
2024-01-20,Caixa de Som,9,461
2024-01-20,Cabo USB,4,33
2024-01-20,Película,13,11
2024-01-20,Relógio Smart,9,1123
2024-01-21,Carregador,1,116
2024-01-21,Celular,7,1367
2024-01-21,Capinha,16,61
2024-01-21,Capinha,17,85
2024-01-21,Película,17,31
2024-01-21,Relógio Smart,17,1281
2024-01-21,Carregador,5,147
2024-01-21,Celular,8,1746
2024-01-21,Celular,16,2067
2024-01-21,Celular,6,1055
2024-01-21,Carregador,3,46
2024-01-21,Celular,2,1804
2024-01-21,Carregador,11,81
2024-01-21,Caixa de Som,7,280
2024-01-21,Fone,6,278
2024-01-21,Cabo USB,8,58
2024-01-22,Celular,4,2922
2024-01-22,Cabo USB,18,40
2024-01-22,Capinha,18,47
2024-01-22,Capinha,12,59
2024-01-22,Carregador,13,90
2024-01-22,Capinha,17,45
2024-01-22,Capinha,1,47
2024-01-23,Capinha,9,80
2024-01-23,Capinha,9,31
2024-01-23,Película,10,21
2024-01-23,Celular,1,2519
2024-01-23,Celular,15,2746
2024-01-23,Película,15,20
2024-01-23,Celular,18,2695
2024-01-23,Película,11,13
2024-01-23,Capinha,15,62
2024-01-23,Fone,19,198
2024-01-23,Película,18,38
2024-01-23,Celular,14,1622
2024-01-23,Fone,3,293
2024-01-23,Carregador,14,80
2024-01-23,Fone,9,102
2024-01-23,Capinha,15,48
2024-01-23,Película,1,43
2024-01-24,Fone,19,183
2024-01-24,Carregador,14,104
2024-01-24,Relógio Smart,17,1275
2024-01-24,Película,18,37
2024-01-24,Celular,18,1793
2024-01-24,Carregador,17,81
2024-01-24,Relógio Smart,11,912
2024-01-24,Celular,12,1832
2024-01-24,Carregador,17,93
2024-01-24,Relógio Smart,10,556
2024-01-24,Fone,10,187
2024-01-24,Fone,17,163
2024-01-24,Capinha,7,78
2024-01-25,Cabo USB,3,26
2024-01-25,Fone,4,75
2024-01-25,Celular,14,2526
2024-01-25,Celular,10,2722
2024-01-25,Capinha,16,23
2024-01-25,Película,2,38
2024-01-25,Cabo USB,1,71
2024-01-25,Carregador,17,137
2024-01-25,Película,4,34
2024-01-25,Cabo USB,5,71
2024-01-25,Carregador,3,60
2024-01-25,Película,1,34
2024-01-26,Capinha,4,85
2024-01-26,Capinha,11,71
2024-01-26,Celular,12,1356
2024-01-26,Celular,13,2361
2024-01-26,Celular,15,1928
2024-01-26,Carregador,10,118
2024-01-26,Capinha,11,44
2024-01-27,Capinha,9,64
2024-01-27,Celular,14,1291
2024-01-27,Celular,14,2465
2024-01-27,Relógio Smart,18,1361
2024-01-27,Capinha,1,94
2024-01-27,Celular,12,2193
2024-01-27,Capinha,12,36
2024-01-27,Celular,10,2214
2024-01-27,Carregador,18,125
2024-01-28,Cabo USB,3,58
2024-01-28,Cabo USB,19,64
2024-01-28,Capinha,3,67
2024-01-28,Capinha,16,34
2024-01-28,Carregador,19,105
2024-01-28,Carregador,11,134
2024-01-28,Celular,7,2348
2024-01-28,Relógio Smart,16,272
2024-01-28,Película,13,32
2024-01-28,Fone,4,172
2024-01-28,Capinha,3,24
2024-01-28,Capinha,9,29
2024-01-28,Película,7,35
2024-01-28,Película,15,33
2024-01-28,Caixa de Som,15,115
2024-01-28,Relógio Smart,12,339
2024-01-29,Celular,7,2312
2024-01-29,Celular,1,2497
2024-01-29,Capinha,18,34
2024-01-29,Caixa de Som,17,370
2024-01-29,Cabo USB,19,47
2024-01-29,Película,18,16
2024-01-29,Película,14,23
2024-01-29,Fone,14,160
2024-01-29,Película,2,45
2024-01-29,Celular,14,1395
2024-01-29,Capinha,6,70
2024-01-30,Celular,5,2211
2024-01-30,Película,12,27
2024-01-30,Carregador,15,119
2024-01-30,Capinha,17,73
2024-01-30,Fone,15,182
2024-01-30,Cabo USB,14,47
2024-01-30,Celular,19,1214
2024-01-30,Capinha,19,95
2024-01-30,Película,4,24
2024-01-31,Celular,3,1577
2024-01-31,Celular,2,1341
2024-01-31,Celular,11,2835
2024-01-31,Cabo USB,7,32
2024-01-31,Fone,2,260
2024-01-31,Capinha,9,33
2024-01-31,Celular,15,1628
2024-01-31,Carregador,3,53
2024-01-31,Película,3,36
2024-01-31,Celular,1,1363
2024-01-31,Película,8,42
2024-01-31,Capinha,12,54
2024-01-31,Capinha,2,68
2024-01-31,Fone,7,205
2024-01-31,Celular,19,1032
2024-01-31,Fone,17,50
2024-01-31,Fone,9,100
2024-01-31,Película,13,44
2024-02-01,Película,15,32
2024-02-01,Película,4,17
2024-02-01,Celular,4,2509
2024-02-01,Película,10,28
2024-02-01,Celular,16,1391
2024-02-01,Celular,2,1555
2024-02-01,Celular,13,1243
2024-02-01,Cabo USB,19,78
2024-02-01,Fone,10,194
2024-02-01,Fone,12,203
2024-02-01,Película,6,44
2024-02-01,Cabo USB,18,50
2024-02-01,Cabo USB,12,54
2024-02-01,Carregador,6,46
2024-02-01,Cabo USB,5,79
2024-02-01,Relógio Smart,4,1494
2024-02-01,Cabo USB,8,28
2024-02-02,Caixa de Som,1,253
2024-02-02,Cabo USB,13,79
2024-02-02,Fone,9,171
2024-02-02,Fone,14,120
2024-02-02,Cabo USB,15,75
2024-02-02,Celular,8,2929
2024-02-02,Celular,8,1392
2024-02-02,Capinha,10,38
2024-02-02,Celular,8,1791
2024-02-02,Caixa de Som,7,512
2024-02-02,Celular,12,2554
2024-02-02,Cabo USB,19,50
2024-02-02,Película,2,12
2024-02-02,Película,14,18
2024-02-03,Celular,13,1421
2024-02-03,Celular,6,1317
2024-02-03,Celular,8,2676
2024-02-03,Carregador,18,87
2024-02-03,Película,9,17
2024-02-03,Película,12,45
2024-02-03,Celular,2,1269
2024-02-03,Celular,11,2767
2024-02-03,Carregador,18,62
2024-02-03,Capinha,9,64
2024-02-03,Capinha,15,50
2024-02-03,Película,10,26
2024-02-03,Capinha,19,59
2024-02-04,Capinha,17,77
2024-02-04,Carregador,3,134
2024-02-04,Capinha,10,71
2024-02-04,Caixa de Som,3,322
2024-02-04,Cabo USB,19,79
2024-02-04,Fone,8,117
2024-02-04,Celular,14,1234
2024-02-04,Celular,19,1196
2024-02-04,Capinha,17,48
2024-02-05,Fone,17,87
2024-02-05,Cabo USB,3,33
2024-02-05,Capinha,19,45
2024-02-05,Celular,19,2631
2024-02-05,Capinha,17,52
2024-02-05,Celular,7,1672
2024-02-05,Fone,3,184
2024-02-05,Caixa de Som,18,279
2024-02-06,Capinha,15,37
2024-02-06,Carregador,6,131
2024-02-06,Fone,14,144
2024-02-06,Relógio Smart,13,937
2024-02-06,Cabo USB,17,26
2024-02-06,Fone,14,97
2024-02-06,Película,18,18
2024-02-06,Celular,7,1889
2024-02-06,Capinha,6,81
2024-02-06,Película,15,44
2024-02-06,Fone,11,59
2024-02-06,Celular,4,2330
2024-02-07,Capinha,2,43
2024-02-07,Cabo USB,4,30
2024-02-07,Película,13,17
2024-02-07,Película,6,13
2024-02-07,Celular,3,1597
2024-02-07,Celular,5,1162
2024-02-07,Celular,6,2430
2024-02-07,Fone,18,123
2024-02-07,Película,9,43
2024-02-07,Celular,10,2382
2024-02-07,Película,1,45
2024-02-07,Celular,8,1856
2024-02-07,Carregador,10,67
2024-02-07,Celular,13,2667
2024-02-07,Película,3,21
2024-02-08,Capinha,19,51
2024-02-08,Celular,17,1079
2024-02-08,Capinha,16,87
2024-02-08,Película,3,24
2024-02-08,Capinha,15,27
2024-02-08,Capinha,14,72
2024-02-08,Capinha,16,45
2024-02-08,Película,6,32
2024-02-09,Capinha,7,85
2024-02-09,Relógio Smart,2,1442
2024-02-09,Celular,5,2428
2024-02-09,Película,1,27
2024-02-09,Película,3,11
2024-02-09,Película,5,44
2024-02-09,Celular,1,1681
2024-02-09,Película,14,29
2024-02-09,Celular,16,1792
2024-02-10,Capinha,8,96
2024-02-10,Capinha,2,79
2024-02-10,Celular,11,2434
2024-02-10,Capinha,7,28
2024-02-10,Cabo USB,18,38
2024-02-10,Fone,2,131
2024-02-10,Capinha,15,79
2024-02-10,Relógio Smart,14,818
2024-02-10,Película,4,22
2024-02-10,Película,10,24
2024-02-10,Cabo USB,15,72
2024-02-10,Fone,13,175
2024-02-10,Relógio Smart,16,739
2024-02-10,Fone,8,215
2024-02-10,Película,7,39
2024-02-11,Celular,13,1125
2024-02-11,Capinha,8,55
2024-02-11,Capinha,4,26
2024-02-11,Cabo USB,7,37
2024-02-11,Celular,12,1149
2024-02-11,Celular,5,1710
2024-02-11,Película,12,19
2024-02-11,Fone,7,165
2024-02-11,Cabo USB,6,60
2024-02-11,Película,15,32
2024-02-11,Película,5,46
2024-02-11,Carregador,19,70
2024-02-11,Cabo USB,16,67
2024-02-11,Relógio Smart,18,1407
2024-02-11,Carregador,8,134
2024-02-11,Fone,4,270
2024-02-11,Relógio Smart,6,729
2024-02-12,Relógio Smart,14,1141
2024-02-12,Celular,7,1150
2024-02-12,Celular,1,1215
2024-02-12,Celular,14,2549
2024-02-12,Capinha,7,97
2024-02-12,Película,16,33
2024-02-12,Relógio Smart,7,472
2024-02-12,Fone,13,189
2024-02-12,Película,14,48
2024-02-12,Celular,12,2975
2024-02-12,Relógio Smart,16,571
2024-02-13,Celular,17,2699
2024-02-13,Cabo USB,13,41
2024-02-13,Celular,6,1343
2024-02-13,Celular,16,1742
2024-02-13,Capinha,2,80
2024-02-13,Película,15,34
2024-02-13,Capinha,2,36
2024-02-13,Capinha,12,30
2024-02-13,Carregador,15,52
2024-02-13,Celular,9,2996
2024-02-13,Fone,12,296
2024-02-13,Fone,13,120
2024-02-13,Fone,7,270
2024-02-13,Capinha,11,21
2024-02-13,Cabo USB,10,24
2024-02-13,Capinha,5,73
2024-02-13,Fone,2,62
2024-02-13,Caixa de Som,10,561
2024-02-14,Capinha,6,20
2024-02-14,Celular,16,1505
2024-02-14,Capinha,11,81
2024-02-14,Fone,6,191
2024-02-14,Celular,6,2686
2024-02-14,Celular,14,1774
2024-02-15,Fone,3,58
2024-02-15,Película,4,26
2024-02-15,Celular,17,2083
2024-02-15,Capinha,7,89
2024-02-15,Carregador,9,59
2024-02-15,Caixa de Som,13,352
2024-02-15,Celular,8,1688
2024-02-15,Celular,7,1038
2024-02-15,Celular,15,2913
2024-02-15,Celular,14,2835
2024-02-15,Carregador,9,105
2024-02-15,Cabo USB,6,40
2024-02-15,Celular,3,2348
2024-02-15,Película,18,18
2024-02-15,Película,18,41
2024-02-15,Fone,5,171
2024-02-15,Fone,8,201
2024-02-16,Carregador,9,140
2024-02-16,Relógio Smart,6,678
2024-02-16,Fone,15,69
2024-02-16,Capinha,17,46
2024-02-16,Capinha,10,98
2024-02-16,Película,6,32
2024-02-16,Película,3,31
2024-02-16,Relógio Smart,14,256
2024-02-16,Celular,5,2258
2024-02-16,Película,10,33
2024-02-16,Capinha,16,70
2024-02-16,Relógio Smart,4,1108
2024-02-16,Celular,13,1897
2024-02-16,Película,9,11
2024-02-17,Celular,4,2068
2024-02-17,Cabo USB,16,33
2024-02-17,Celular,19,1679
2024-02-17,Celular,6,1593
2024-02-17,Fone,18,267
2024-02-17,Fone,9,275
2024-02-17,Caixa de Som,5,439
2024-02-17,Fone,2,209
2024-02-17,Celular,16,1523
2024-02-17,Película,8,17
2024-02-17,Cabo USB,4,20
2024-02-17,Capinha,8,53
2024-02-17,Película,19,19
2024-02-17,Película,9,19
2024-02-17,Carregador,18,59
2024-02-18,Carregador,3,132
2024-02-18,Fone,4,283
2024-02-18,Película,7,42
2024-02-18,Fone,10,217
2024-02-18,Celular,4,1298
2024-02-18,Cabo USB,15,78
2024-02-18,Capinha,10,54
2024-02-18,Relógio Smart,19,735
2024-02-18,Capinha,4,88
2024-02-18,Cabo USB,3,75
2024-02-18,Película,13,46
2024-02-18,Cabo USB,11,57
2024-02-18,Cabo USB,12,24
2024-02-18,Capinha,10,59
2024-02-18,Película,3,14
2024-02-18,Fone,13,164
2024-02-18,Película,5,49
2024-02-19,Película,19,11
2024-02-19,Carregador,1,125
2024-02-19,Celular,10,2527
2024-02-19,Capinha,7,39
2024-02-19,Fone,18,125
2024-02-19,Cabo USB,12,28
2024-02-19,Capinha,13,31
2024-02-19,Carregador,18,116
2024-02-19,Caixa de Som,3,524
2024-02-19,Celular,9,1854
2024-02-19,Carregador,1,49
2024-02-19,Película,16,38
2024-02-19,Celular,8,2023
2024-02-19,Caixa de Som,1,598
2024-02-19,Fone,5,153
2024-02-19,Celular,9,1385
2024-02-19,Celular,14,1851
2024-02-19,Carregador,17,73
2024-02-19,Relógio Smart,19,1065
2024-02-19,Carregador,4,94
2024-02-19,Relógio Smart,3,836
2024-02-19,Capinha,1,76
2024-02-20,Celular,16,1919
2024-02-20,Película,13,22
2024-02-20,Cabo USB,8,71
2024-02-20,Fone,13,51
2024-02-20,Capinha,2,96
2024-02-20,Capinha,6,48
2024-02-20,Celular,15,2460
2024-02-20,Capinha,3,21
2024-02-20,Capinha,19,69
2024-02-20,Fone,4,139
2024-02-20,Carregador,6,149
2024-02-21,Cabo USB,13,23
2024-02-21,Carregador,3,46
2024-02-21,Carregador,13,107
2024-02-21,Fone,6,112
2024-02-21,Película,4,41
2024-02-21,Cabo USB,4,68
2024-02-21,Celular,10,2062
2024-02-21,Película,3,26
2024-02-21,Carregador,3,146
2024-02-21,Capinha,4,29
2024-02-21,Carregador,19,138
2024-02-22,Celular,9,2376
2024-02-22,Celular,9,2703
2024-02-22,Carregador,5,135
2024-02-22,Película,3,22
2024-02-22,Fone,13,249
2024-02-22,Capinha,1,65
2024-02-22,Celular,9,1712
2024-02-22,Película,4,28
2024-02-22,Relógio Smart,19,326
2024-02-22,Carregador,9,137
2024-02-22,Cabo USB,6,36
2024-02-22,Celular,9,2723
2024-02-22,Celular,12,1511
2024-02-23,Celular,17,2798
2024-02-23,Cabo USB,8,18
2024-02-23,Relógio Smart,5,1002
2024-02-23,Fone,6,271
2024-02-23,Celular,19,1579
2024-02-23,Película,19,16
2024-02-23,Cabo USB,7,67
2024-02-23,Fone,13,121
2024-02-23,Película,4,38
2024-02-23,Celular,14,2884
2024-02-23,Carregador,7,50
2024-02-23,Fone,1,117
2024-02-23,Capinha,15,58
2024-02-23,Película,9,34
2024-02-23,Película,9,35
2024-02-23,Fone,16,227
2024-02-23,Capinha,11,40
2024-02-24,Celular,14,2698
2024-02-24,Fone,4,55
2024-02-24,Fone,14,270
2024-02-24,Fone,7,119
2024-02-24,Celular,19,1762
2024-02-24,Fone,12,179
2024-02-24,Capinha,18,48
2024-02-24,Capinha,17,83
2024-02-24,Fone,1,242
2024-02-24,Capinha,9,96
2024-02-24,Película,17,48
2024-02-24,Cabo USB,14,38
2024-02-25,Película,17,14
2024-02-25,Fone,13,257
2024-02-25,Cabo USB,9,69
2024-02-25,Película,14,38
2024-02-25,Carregador,12,101
2024-02-25,Carregador,8,94
2024-02-25,Cabo USB,13,45
2024-02-25,Película,11,34
2024-02-25,Capinha,3,88
2024-02-25,Fone,2,263
2024-02-25,Capinha,19,98
2024-02-26,Capinha,14,52
2024-02-26,Relógio Smart,13,1038
2024-02-26,Celular,3,1086
2024-02-26,Capinha,3,54
2024-02-26,Capinha,4,86
2024-02-26,Celular,15,1904
2024-02-26,Película,1,40
2024-02-26,Película,5,25
2024-02-26,Carregador,13,91
2024-02-26,Película,9,31
2024-02-26,Fone,7,87
2024-02-26,Capinha,6,96
2024-02-27,Película,7,40
2024-02-27,Capinha,17,20
2024-02-27,Celular,1,2459
2024-02-27,Capinha,18,56
2024-02-27,Película,2,39
2024-02-27,Celular,6,2295
2024-02-27,Carregador,18,120
2024-02-27,Película,14,45
2024-02-27,Carregador,16,137
2024-02-27,Fone,8,82
2024-02-27,Celular,3,2707
2024-02-27,Capinha,5,90
2024-02-27,Celular,10,1093
2024-02-28,Capinha,15,45
2024-02-28,Carregador,16,61
2024-02-28,Carregador,1,97
2024-02-28,Capinha,15,89
2024-02-28,Capinha,5,77
2024-02-28,Celular,10,1254
2024-02-28,Celular,19,1343
2024-02-28,Capinha,15,23
2024-02-28,Película,10,39
2024-02-28,Celular,17,2606
2024-02-28,Capinha,19,92
2024-02-28,Capinha,19,28
2024-02-29,Caixa de Som,3,344
2024-02-29,Carregador,12,78
2024-02-29,Película,7,31
2024-02-29,Capinha,5,70
2024-02-29,Fone,16,225
2024-02-29,Celular,6,1732
2024-02-29,Capinha,8,83
2024-02-29,Carregador,12,134
2024-02-29,Fone,10,298
2024-02-29,Capinha,15,76
2024-02-29,Carregador,14,77
2024-02-29,Celular,10,1012
2024-02-29,Carregador,6,70
2024-03-01,Fone,18,253
2024-03-01,Capinha,12,44
2024-03-01,Película,7,13
2024-03-01,Fone,12,205
2024-03-01,Película,18,40
2024-03-01,Fone,1,222
2024-03-01,Celular,6,2795
2024-03-01,Carregador,3,80
2024-03-01,Fone,9,214
2024-03-01,Celular,12,2828
2024-03-01,Celular,17,2726
2024-03-01,Fone,7,198
2024-03-01,Fone,12,167
2024-03-01,Celular,14,1310
2024-03-01,Caixa de Som,19,385
2024-03-01,Relógio Smart,7,252
2024-03-01,Cabo USB,12,72
2024-03-01,Celular,10,1272
2024-03-02,Celular,4,1003
2024-03-02,Relógio Smart,16,665
2024-03-02,Carregador,13,81
2024-03-02,Capinha,11,57
2024-03-02,Celular,13,1577
2024-03-02,Película,11,12
2024-03-02,Cabo USB,2,73
2024-03-02,Carregador,5,52
2024-03-02,Capinha,8,76
2024-03-02,Celular,18,2317
2024-03-02,Caixa de Som,19,349
2024-03-02,Caixa de Som,19,558
2024-03-02,Fone,18,297
2024-03-02,Celular,13,1564
2024-03-02,Celular,12,1764
2024-03-02,Capinha,9,82
2024-03-03,Capinha,8,75
2024-03-03,Fone,15,125
2024-03-03,Película,17,21
2024-03-03,Caixa de Som,2,319
2024-03-03,Película,16,29
2024-03-03,Celular,15,1467
2024-03-03,Capinha,19,91
2024-03-03,Celular,13,1973
2024-03-03,Capinha,12,95
2024-03-03,Fone,14,78
2024-03-03,Película,5,13
2024-03-03,Celular,13,1596
2024-03-03,Capinha,18,92
2024-03-03,Capinha,16,37
2024-03-03,Capinha,3,84
2024-03-04,Fone,7,97
2024-03-04,Celular,17,2946
2024-03-04,Capinha,6,80
2024-03-04,Carregador,14,87
2024-03-04,Celular,15,2620
2024-03-04,Capinha,6,34
2024-03-04,Fone,1,276
2024-03-04,Carregador,10,128
2024-03-04,Película,6,38
2024-03-04,Película,18,35
2024-03-04,Carregador,6,113
2024-03-04,Celular,18,1529
2024-03-04,Carregador,10,117
2024-03-04,Cabo USB,19,69
2024-03-04,Capinha,17,89
2024-03-04,Celular,7,2291
2024-03-04,Fone,18,74
2024-03-05,Celular,15,2524
2024-03-05,Capinha,13,71
2024-03-05,Celular,6,2056
2024-03-05,Capinha,16,87
2024-03-05,Capinha,12,37
2024-03-05,Celular,13,2334
2024-03-05,Capinha,4,37
2024-03-05,Cabo USB,6,30
2024-03-05,Capinha,10,68
2024-03-05,Relógio Smart,7,436
2024-03-05,Capinha,18,29
2024-03-05,Fone,14,86
2024-03-05,Capinha,17,53
2024-03-05,Cabo USB,18,57
2024-03-05,Caixa de Som,11,487
2024-03-05,Caixa de Som,7,106
2024-03-05,Relógio Smart,4,1097
2024-03-05,Carregador,18,140
2024-03-05,Película,3,40
2024-03-06,Fone,2,256
2024-03-06,Carregador,18,67
2024-03-06,Celular,1,2000
2024-03-06,Capinha,6,88
2024-03-06,Fone,6,141
2024-03-06,Película,8,43
2024-03-06,Capinha,18,66
2024-03-06,Capinha,14,41
2024-03-06,Capinha,9,45
